symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
JNJ,XLV,58,2025-08-20,2025-08-26,178.98,176.23,28.361,-79.46,-1.54,A:EMA8
NOC,—,58,2025-08-01,2025-09-03,586.91,580.14,8.8616,-61.25,-1.15,A:EMA21
WYNN,—,64,2025-08-19,2025-09-05,112.92,120.72,45.1101,350.54,6.91,A:EMA8
NOC,—,58,2025-08-01,2025-09-09,586.91,570.77,17.7232,-287.49,-2.75,B:ATR2.5x
JNJ,XLV,58,2025-08-20,2025-09-10,178.98,175.53,28.361,-99.29,-1.93,A:EMA21
JNJ,XLV,58,2025-08-20,2025-09-18,178.98,173.9,56.722,-289.89,-2.84,B:ATR2.5x
HOOD,—,77,2025-09-09,2025-09-26,118.59,121.6,45.2158,134.51,2.53,A:EMA8
WYNN,—,64,2025-08-19,2025-10-03,112.92,123.47,45.1101,474.85,9.35,A:EMA21
WYNN,—,64,2025-08-19,2025-10-03,112.92,123.47,90.2202,950.71,9.35,B:ATR2.5x
WDC,—,93,2025-07-23,2025-10-07,69.38,119.75,150.5041,7580.09,72.61,B:ATR2.5x
APH,—,84,2025-06-04,2025-10-10,91.98,121.52,54.3548,1604.06,32.11,A:EMA21
GLW,—,82,2025-09-18,2025-10-10,79.68,82.86,69.7155,219.88,3.98,A:EMA8
MU,SMH,67,2025-10-03,2025-10-10,187.98,181.33,32.2339,-215.69,-3.54,A:EMA8
MNST,—,64,2025-10-10,2025-10-13,69.68,67.05,83.1632,-219.67,-3.77,A:EMA8
WDC,—,93,2025-07-23,2025-10-14,69.38,112.96,75.2521,3278.6,62.82,A:EMA21
HOOD,—,77,2025-09-09,2025-10-14,118.59,134.75,45.2158,729.11,13.62,A:EMA21
HOOD,—,77,2025-09-09,2025-10-14,118.59,134.75,90.4315,1459.22,13.62,B:ATR2.5x
NEM,—,83,2025-10-14,2025-10-17,90.61,90.63,63.7397,0.11,0.02,A:EMA8
NEM,—,83,2025-10-14,2025-10-21,90.61,86.19,63.7397,-283.1,-4.88,A:EMA21
NEM,—,83,2025-10-14,2025-10-21,90.61,86.19,127.4794,-565.2,-4.88,B:ATR2.5x
CAT,XLI,64,2025-10-14,2025-10-22,527.89,513.14,10.9391,-162.63,-2.79,A:EMA8
MNST,—,64,2025-10-10,2025-10-29,69.68,66.46,83.1632,-268.66,-4.62,A:EMA21
MNST,—,64,2025-10-10,2025-10-29,69.68,66.46,166.3265,-536.33,-4.62,B:ATR2.5x
