symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
ABT,XLV,71,2025-03-03,2025-03-11,140.33,132.46,154.3371,-1216.81,-5.61,ATR
YUM,—,70,2025-03-07,2025-03-13,162.66,153.19,131.5733,-1248.02,-5.82,ATR
GILD,—,64,2025-02-20,2025-03-14,110.12,111.27,198.6155,227.36,1.05,ATR
WRB,—,62,2025-03-25,2025-03-28,64.47,71.16,323.3834,2161.94,10.38,ATR
VRSN,—,54,2024-12-27,2025-04-04,204.11,239.84,97.5309,3482.44,17.5,ATR
WMB,—,62,2025-03-24,2025-04-04,61.14,54.49,341.1721,-2271.04,-10.88,ATR
MNST,—,57,2025-03-24,2025-04-04,57.88,56.99,360.3436,-319.78,-1.52,ATR
TJX,XLY,62,2025-05-12,2025-05-23,131.6,125.51,157.0096,-957.21,-4.62,ATR
MOS,—,63,2025-05-12,2025-06-06,32.98,34.75,626.6676,1108.1,5.37,ATR
MELI,—,60,2025-05-12,2025-06-09,2506.61,2444.93,8.2415,-510.39,-2.46,ATR
PAYC,—,60,2025-05-12,2025-06-12,258.59,250.47,79.8618,-649.92,-3.14,ATR
BA,XLI,73,2025-06-09,2025-06-12,217.68,203.44,96.4198,-1374.98,-6.54,ATR
PM,XLP,64,2025-06-12,2025-07-01,184.25,177.26,112.162,-785.29,-3.79,ATR
STX,—,93,2025-07-01,2025-07-09,145.16,141.8,143.3092,-483.38,-2.31,ATR
APH,—,60,2025-05-12,2025-07-23,84.53,100.56,244.3547,3915.34,18.97,ATR
JCI,—,73,2025-06-06,2025-07-29,103.87,103.09,204.0982,-162.81,-0.76,ATR
MSFT,IGV,67,2025-06-12,2025-08-01,479.25,523.32,43.1276,1898.67,9.2,ATR
AVGO,SMH,82,2025-07-09,2025-08-20,278.12,290.73,75.2156,946.54,4.53,ATR
NOC,—,58,2025-08-01,2025-09-09,586.91,570.77,36.8543,-596.7,-2.75,ATR
JNJ,XLV,58,2025-08-20,2025-09-18,178.98,173.9,121.5082,-619.79,-2.84,ATR
STX,—,98,2025-07-23,2025-10-07,152.88,224.67,139.2302,9993.37,46.96,ATR
WDC,—,86,2025-07-29,2025-10-07,70.67,119.75,300.8011,14762.4,69.46,ATR
HOOD,—,77,2025-09-09,2025-10-14,118.59,134.75,198.9897,3212.24,13.62,ATR
NOC,—,62,2025-10-07,2025-10-15,622.13,608.02,43.9608,-622.32,-2.27,ATR
NEM,—,83,2025-10-14,2025-10-21,90.61,86.19,297.8303,-1318.98,-4.88,ATR
URI,—,70,2025-10-15,2025-10-23,1020.82,912.93,26.5731,-2868.91,-10.57,ATR
MNST,—,60,2025-10-07,2025-10-29,68.2,66.46,400.9209,-701.35,-2.56,ATR
MPWR,—,72,2025-10-23,2025-10-31,1071.66,1003.49,24.6334,-1681.12,-6.36,ATR
GLW,—,82,2025-09-18,2025-11-13,79.68,82.24,313.1423,797.38,3.2,ATR
TER,—,69,2025-10-31,2025-11-13,181.91,169.34,143.9929,-1811.96,-6.91,ATR
LRCX,SMH,83,2025-10-29,2025-11-14,160.8,148.04,165.0253,-2107.88,-7.94,ATR
